,제목,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank,시청률,click,장르
48,아스달 연대기 파트 2,"Jun 22, 2019 - Jul  7, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 21 min.,15+ - Teens 15 or older,8.7,"Historical,  Romance,  Fantasy,  Political ","Twins, War, Power Struggle, Revenge, Slavery, Good Twin/Evil Twin, Strong Female Lead, Character Development, Father-Daughter Relationship, Sibling",Kim Won Suk,"Kim Young Hyun, Park Sang Yeon","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon","Studio Dragon, KPJ",#49,7.70%,380000,Life
49,아스달 연대기 파트 3,"Sep  7, 2019 - Sep 22, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Historical,  Romance,  Fantasy,  Political ","Power Struggle, War, Supernatural Power, Strong Female Lead, Identical Twins, Curse, Revenge, Superhuman Strength, Pre-produced, Sibling",Kim Won Suk,"Kim Young Hyun, Park Sang Yeon","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika","Studio Dragon, KPJ",#50,7.70%,410000,Psychological
50,악의 마음을 읽는 자들,"Jan 14, 2022 - Mar 12, 2022",2022,SBS,"Friday, Saturday",12,1 hr. 10 min.,18+ Restricted (violence & profanity),8.7,"Thriller, Mystery, Crime, Drama ","Investigation, Murder, Calm Male Lead, Suspense, 1990s, Adapted From A Novel, 2000s, Empathic Male Lead, Time Skip, Sexual Assault","Kim Jae Hong, Park Bo Ram","Seol Yi Na, Kwon Il Yong","Kim Nam Gil, Jin Seon Kyu, Kim So Jin, Ryeoun, Lee Dae Yeon, Kim Won Hae",Studio S,#51,8.30%,145314,Business
51,낭만닥터 김사부 2,"Jan  6, 2020 - Feb 25, 2020",2020,SBS," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Romance,  Drama,  Medical,  Melodrama ","Hospital, Smart Male Lead, Character Development, Bickering Couple, Love/Hate Relationship, Smart Female Lead, Hardworking Female Lead, Nurse, Healing, Nervous Female Lead","Yoo In Shik, Lee Gil Bok",Kang Eun Kyung,"Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon",Samhwa Networks,#52,27.10%,43000,Law
52,피고인,"Jan 23, 2017 - Mar 21, 2017",2017,SBS," Monday, Tuesday",18,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Thriller,  Mystery,  Law,  Drama ","Prison, Murder, Amnesia, Wrongfully Accused, Identity Swap, Bromance, Prisoner, Identical Twins, Suspense, Good Twin/Evil Twin","Jo Young Kwang, Jung Dong Yoon","Choi Soo Jin, Choi Chang Hwan","Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu","Signal Entertainment Group, The Story Works (SBS)",#53,28.30%,2260000,Comedy
53,우리들의 블루스,"Apr 9, 2022 - Jun 12, 2022",2022,"Netflix, tvN","Saturday, Sunday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Romance, Life, Drama, Melodrama","Multiple Mains, Anthology, Island Setting, Middle-Aged Female Lead, Middle-Aged Male Lead, Slow Burn Story, Family, Friendship, Depression, Deaf Supporting Character ","Kim Kyu Tae, Lee Jung Mook",Noh Hee Kyung,"Lee Byung Hun, Shin Min Ah, Cha Seung Won, Lee Jung Eun, Uhm Jung Hwa, Han Ji Min",GTist,#54,14.60%,640000,Thriller
54,스위트홈,18-Dec-20,2020,Netflix,Friday,10,52 min.,18+ Restricted (violence & profanity),8.7,"Horror,  Drama,  Sci-Fi,  Supernatural ","Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, Multiple Mains, Trauma, School Bullying, Attempted Suicide",Lee Eung Bok,Kim Hyung Min,"Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si","Studio Dragon, Studio N",#55,,270000,Comedy
55,킬미 힐미,"Jan  7, 2015 - Mar 12, 2015",2015,MBC," Wednesday, Thursday",20,1 hr. 2 min.,15+ - Teens 15 or older,8.7,"Psychological,  Comedy,  Romance,  Drama ","Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Mental Health, PTSD, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman","Kim Jin Man, Kim Dae Jin",Jin Soo Wan,"Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae","Pan Entertainment, Huace Media",#56,11.50%,970000,Mystery
56,달의 연인 - 보보경심 려,"Aug 29, 2016 - Nov  1, 2016",2016,SBS," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,"Historical,  Romance,  Melodrama ","Goryeo Dynasty, Power Struggle, Sibling Rivalry, Tearjerker, Adapted From A Novel, Time Travel, Death, Gwangjong, Reverse-Harem, Obsession",Kim Kyu Tae,Jo Yoon Young,"Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun","BaramiBunda inc., GT Entertainment, NBCUniversal International Television, YG Entertainment",#57,11.30%,90000,Comedy
57,사내맞선,"Feb 28, 2022 - Apr 5, 2022",2022,"Netflix, SBS","Monday, Tuesday",12,60 min.,15+ - Teens 15 or older,8.7,"Comedy, Romance, Drama","Boss-Employee Relationship, Secondary Couple, Cheerful Female Lead, Fake Identity, Blind Date, Poor Female Lead, Contract Relationship, Sismance, Double Identity, Company President (CEO) Male Lead",Park Seon Ho,"Han Sul Hee, Hong Bo Hee","Shin Ha Ri is a single woman and works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young Seo, who is a daughter of a chaebol family. Jin Young Seo then asks Shin Ha Ri to take her place in a blind date and even offers some money for her time. Shin Ha Ri accepts her friend's offer. She goes out on the blind date as Jin Young Seo, while having the intention to get rejected by her date. When she sees her blind date, Shin Ha Ri is dumbfounded. Her blind date is Kang Tae Mu. He is the CEO of the company where she works. Kang Tae Mu is the CEO of a company that his grandfather founded. One day, his grandfather informed him of an upcoming blind date that he set up for him. Kang Tae Mu is a workaholic and he is annoyed that his grandfather sets up blind dates for him. He decides to marry the next woman whom he meets at a blind date, so he won't be disturbed from his work anymore. That woman is Shin Ha Ri, but pretending to be Jin Young Seo. On the following day, Shin Ha Ri receives a phone call from Kang Tae Mu. He asks her to marry him.","Kakao Entertainment, Kross Pictures",#58,11.60%,220000,Comedy
58,미생,"Oct 17, 2014 - Dec 20, 2014",2014,tvN," Friday, Saturday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Friendship,  Business,  Life,  Drama ","Office Worker, Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Workplace, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead",Kim Won Suk,Jung Yoon Jung,"Im Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung",Number Three Pictures,#59,8.20%,150000,Comedy
59,힘쎈여자 도봉순,"Feb 24, 2017 - Apr 15, 2017",2017,jTBC," Friday, Saturday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.7,"Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ","Strong Female Lead, Female Lead Action Scenes, Love Triangle, Superhuman Strength, Strong Female Characters, Game Developer, Gangster, Nice Male Lead, Bodyguard, Workplace",Lee Hyung Min,Baek Mi Kyung,"Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung","Drama House, JS Pictures",#60,9.70%,7340000,Action
60,열혈사제,"Feb 15, 2019 - Apr 20, 2019",2019,SBS," Friday, Saturday",40,35 min.,15+ - Teens 15 or older,8.7,"Action,  Mystery,  Comedy,  Crime ","Badass Male Lead, Priest, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Church, Strong Friendship, PTSD, Sismance",Lee Myung Woo,Park Jae Bum,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo",Samhwa Networks,#61,22.00%,540000,Comedy
61,마이 네임,15-Oct-21,2021,Netflix,Friday,8,50 min.,18+ Restricted (violence & profanity),8.7,"Action,  Thriller,  Crime ","Revenge, Undercover Agent, Strong Female Lead, Double Identity, Crime Boss, Gang, Noir, Strong Male Lead, Drugs, Death",Kim Jin Min,Kim Ba Da,"Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Jang Yool",Studio Santa Claus Entertainment,#62,,140000,Psychological
62,호텔 델루나,"Jul 13, 2019 - Sep  1, 2019",2019,tvN," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Horror,  Comedy,  Romance,  Fantasy ","Boss-Employee Relationship, Immortal, Strong Female Lead, Ghost, Ghost-seeing Male Lead, Supernatural, Hotel, Rich Female Lead, Nice Male Lead, Strong Friendship",Oh Choong Hwan,"Hong Jung Eun, Hong Mi Ran","IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul",GTist,#63,12.00%,2890000,Comedy
63,스토브리그,"Dec 13, 2019 - Feb 14, 2020",2019,SBS," Friday, Saturday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.7,"Drama,  Sports,  Melodrama ","Hardworking Female Lead, Baseball, Hardworking Male Lead, Workplace, Teamwork, General Manager, Corruption, Successful Male Lead, Tough Male Lead, Calm Male Lead",Jung Dong Yoon,Lee Shin Hwa,"Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun",Gill Pictures,#64,19.10%,270000,Thriller
64,낭만닥터 김사부 2,"Nov  7, 2016 - Jan 16, 2017",2016,SBS," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,"Romance,  Drama,  Medical ","Surgeon, Strong Male Lead, Smart Male Lead, Strong Female Characters, Hardworking Female Lead, Hardworking Male Lead, Character Development, Smart Female Lead, Boss-Employee Relationship, Slow Burn Romance","Yoo In Shik, Park Soo Jin",Kang Eun Kyung,"Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin",Samhwa Networks,#65,27.10%,43000,Romance
65,태양의 후예,"Feb 24, 2016 - Apr 14, 2016",2016,KBS2," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.7,"Action,  Comedy,  Romance,  Melodrama ","Soldier, Hardworking Female Lead, Multiple Couples, Bromance, Hardworking Male Lead, Charming Male Lead, Gun Violence, Filmed Abroad, Friendship, Strong Friendship","Baek Sang Hoon, Lee Eung Bok","Kim Eun Sook, Kim Won Seok","Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Jun, Seo Jung Yeon","KBS, Next Entertainment World, Barunson Inc., Descendants of the Sun SPC",#66,38.80%,1120000,Historical
66,로스쿨,"Apr 14, 2021 - Jun  9, 2021",2021,"jTBC,  Netflix "," Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.7,"Mystery,  Law,  Crime,  Drama ","Smart Male Lead, School, Student, University, Death, Hardworking Female Lead, Rich Male Lead, Law Student, Campus Life, Nice Male Lead",Kim Seok Yoon,Seo In,"Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, Lee David","JTBC Studios, Studio Phoenix, Gonggamdong House",#67,6.90%,130000,Thriller
67,타인은 지옥이다,"Aug 31, 2019 - Oct  6, 2019",2019,OCN," Saturday, Sunday",10,60 min.,15+ - Teens 15 or older,8.7,"Thriller,  Horror,  Psychological,  Drama ","Adapted From A Webtoon, Murder, PTSD, Gaslighting, Mental Illness, Mental Torment, Hostel, Trauma, Torture, Psychopath",Lee Chang Hee,Jung Yi Do,"Im Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok","Woo Sang Film, Studio N",#68,3.90%,1110000,Historical
68,라이브,"Mar 10, 2018 - May  6, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",18,1 hr. 15 min.,15+ - Teens 15 or older,8.7,"Friendship,  Comedy,  Romance,  Crime ","Teamwork, Violence, Strong Friendship, Slice Of Life, Policewoman, Strong Female Lead, Smart Female Lead, Male Chases Female First, Rape, Nice Male Lead","Kim Kyu Tae, Myung Hyun Woo",Noh Hee Kyung,"Lee Kwang Soo, Jung Yu Mi, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung",GTist,#69,7.70%,110000,Action
69,터널,"Mar 25, 2017 - May 21, 2017",2017,OCN," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.7,"Thriller,  Mystery,  Sci-Fi,  Fantasy ","Time Travel, Murder, Criminal Profiler, Serial Killer, Bromance, Hardworking Male Lead, Hidden Identity, Strong Female Lead, Character Development, Slight Romance","Nam Ki Hoon, Shin Yong Hwi",Lee Eun Mi,"Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young",The Unicorn,#70,,1140000,Historical
70,나의 해방일지,"Apr 9, 2022 - May 29, 2022",2022,"jTBC, Netflix","Saturday, Sunday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.6,"Romance, Life, Drama, Melodrama","Slow Burn Story, Loneliness, Introverted Female Lead, Alcoholic Male Lead, Slow Burn Romance, Alcoholism, Multiple Mains, Character Development, Inner Monologue, Multiple Couples",Kim Seok Yoon,Park Hae Young,"Kim Ji Won, Lee Min Ki, Son Seok Koo, Lee El, Lee Ki Woo, Chun Ho Jin","Studio Phoenix, Chorokbaem Media, SLL",#71,6.70%,27000,Comedy
71,검법남녀 2,"Jun  3, 2019 - Jul 29, 2019",2019,MBC," Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.6,"Mystery,  Law,  Drama,  Medical ","Forensic Science, Prosecutor Female Lead, Doctor Male Lead, Rich Female Lead, Death, Murder, Investigation","Noh Do Cheol, Han Jin Sun","Jo Won Gi, Min Ji Eun","Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu",HB Entertainment,#72,9.90%,551,Thriller
72,대장금,"Sep 15, 2003 - Mar 23, 2004",2003,MBC," Monday, Tuesday",54,1 hr. 5 min.,13+ - Teens 13 or older,8.6,"Food,  Historical,  Romance,  Medical ","Cooking, Strong Female Lead, Royal Rules And Etiquette, Joseon Dynasty, Royal Cook, Doctor Female Lead, Faithful Male Lead, Smart Female Lead, Melodrama, Drama",Lee Byung Hoon,Kim Young Hyun,"Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri",MBC,#73,46.30%,100000,Action
73,"괜찮아, 사랑이야","Jul 23, 2014 - Sep 11, 2014",2014,SBS," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.6,"Psychological,  Comedy,  Romance,  Drama ","Strong Female Lead, Psychiatry, Mental Health, Trauma, Charming Male Lead, Healing, Adult Romance, Melodrama, Cohabitation, Housemates",Kim Kyu Tae,Noh Hee Kyung,"Jo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung","GT Entertainment, CJ ENM",#74,12.90%,5000,Romance
74,작은 아씨들,"Sep 3, 2022 - Oct 9, 2022",2022,"Netflix, tvN","Saturday, Sunday",12,1 hr. 15 min.,15+ - Teens 15 or older,8.6,"Action, Thriller, Mystery, Drama","Female Centered Plot, Sisters' Relationship, Poor Female Lead, Poor Family, Multiple Mains, Reporter Female Lead, Investigation, Murder, Outcast Female Lead, Teenager Female Lead",Kim Hee Won,Jung Seo Kyung,"Kim Go Eun, Nam Ji Hyun, Park Ji Hoo, Wi Ha Joon, Uhm Ki Joon, Uhm Ji Won",Studio Dragon,#75,,770000,Historical
75,고스트 닥터,"Jan 3, 2022 - Feb 22, 2022",2022,tvN,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Comedy, Medical, Fantasy, Supernatural","Doctor Male Lead, Spirit, Bromance, Ghost, Spirit Possession, Doctor Female Lead, Arrogant Male Lead, Ghost-seeing Male Lead, Rich Male Lead, Slight Romance ",Boo Sung Chul,Kim Eun Hee,"Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho","Studio Dragon, Bon Factory Worldwide",#76,8.00%,1485,Action
76,으라차차 와이키키,"Feb  5, 2018 - Apr 17, 2018",2018,jTBC," Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Comedy,  Life,  Youth,  Drama ","Housemates, Bromance, Friends To Lovers, Motherhood, Cohabitation, Babysitting, Single Mother, Actor, Childhood Friends, Secondary Couple",Lee Chang Min,Kim Ki Ho,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo","C-JeS Entertainment, Drama House",#77,2.10%,681481,Comedy
77,각시탈,"May 30, 2012 - Sep  6, 2012",2012,KBS2," Wednesday, Thursday",28,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Action,  Historical,  Romance,  Political ","Japanese Colonial Rule, Hidden Identity, Revenge, Rebellion, Murder, Love Triangle, Adapted From A Manhwa, Investigation, Drama, Sword-fight","Yoon Sung Shik, Cha Young Hoon",Yoo Hyun Mi,"Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin","Bridal Mask SPC, Pan Entertainment, KBS N",#78,22.90%,396,Comedy
78,붉은 달 푸른 해,"Nov 21, 2018 - Jan 16, 2019",2018,MBC," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.6,"Thriller,  Mystery,  Psychological,  Crime,  Drama ","Trauma, Child Abuse, Smart Female Lead, Child Behavior Issues, Abuse, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence",Choi Jung Gyu,Do Hyun Jung,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee",Mega Monster,#79,6.00%,210000,Comedy
79,김과장,"Jan 25, 2017 - Mar 30, 2017",2017,KBS2," Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.6,"Business,  Comedy,  Crime,  Drama ","Eccentric Male Lead, Corruption, Bromance, Social Satire, Smart Male Lead, Revenge, Accountant, Enemy Mine, Smart Female Lead, Strong Female Lead","Lee Jae Hoon, Choi Yoon Seok",Park Jae Bum,"Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",Logos Film,#80,18.40%,21000,Comedy
80,돼지의 왕,"Mar 18, 2022 - Apr 22, 2022",2022,tvN,Friday,12,55 min.,18+ Restricted (violence & profanity),8.6,"Thriller, Mystery, Drama","School Bullying, Detective Male Lead, Detective Female Lead, School Violence, Flashback To Past, Revenge, Gore, Murder, Childhood Trauma, Extreme Violence",Kim Dae Jin,Tak Jae Young,"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo","Studio Dadashow, KT&G Sangsangmadang",#81,,100000,Thriller
81,빅마우스,"Jul 29, 2022 - Sep 17, 2022",2022,"Hulu, MBC","Friday, Saturday",16,1 hr. 11 min.,15+ - Teens 15 or older,8.6,"Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Murder, Brave Female Lead, Hardship, Greed, Wrongfully Accused, Mistaken Identity","Oh Choong Hwan, Bae Hyun Jin","Jang Young Chul, Jung Kyung Soon","Lee Jong Suk, Im Yoon Ah, Kim Joo Heon, Kwak Dong Yeon, Yang Kyung Won, Ok Ja Yeon","AStory, Studio Dragon, A-Man Project",#82,13.70%,220000,Mystery
82,고백부부,"Oct 13, 2017 - Nov 18, 2017",2017,KBS2," Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ","Time Travel, Love/Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, 1990s, Failing Marriage, Married Couple, Sassy Female Lead, Sismance",Ha Byung Hoon,Kwon Hye Joo,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol","Confession Couple S.P.C., KBS N, ZIUM Content Co. Ltd.",#83,7.30%,863,Action
83,기황후,"Oct 28, 2013 - Apr 29, 2014",2013,MBC," Monday, Tuesday",51,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Historical,  Romance,  Melodrama,  Political ","Smart Female Lead, Strong Female Lead, Power Struggle, Possessive Male Lead, Love Triangle, Female Warrior, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty","Han Hee, Lee Sung Joon","Jang Young Chul, Jung Kyung Soon","Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung",Victory Contents,#84,29.20%,20000,Comedy
84,아버지가 이상해,"Mar  4, 2017 - Aug 27, 2017",2017,KBS2," Saturday, Sunday",52,1 hr. 6 min.,15+ - Teens 15 or older,8.6,"Comedy,  Romance,  Drama,  Family ","Family Secret, Sisterhood, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship",Lee Jae Sang,Lee Jung Sun,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",iHQ,#85,36.50%,360000,Music
85,한 번 다녀왔습니다,"Mar 28, 2020 - Sep 13, 2020",2020,KBS2," Saturday, Sunday",100,35 min.,15+ - Teens 15 or older,8.6,"Comedy,  Romance,  Drama,  Family ","Divorce, Family Relationship, Multiple Couples, Multiple Mains, Marriage, Slice Of Life, Married Couple, Age Gap, Sibling, Secret Relationship",Lee Jae Sang,Yang Hee Seung,"Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob","Bon Factory Worldwide, Studio Dragon",#86,37.00%,2450000,Thriller
86,미싱,"Aug 29, 2020 - Oct 11, 2020",2020,OCN," Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Thriller,  Mystery,  Supernatural ","Con Artist, Ghost-seeing Male Lead, Spirit, Missing Person, Detective, Hacker, Bromance, Social Justice, Righteous Male Lead, Death",Min Yeon Hong,"Ban Ki Ri, Jung So Young","Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",Mays Entertainment,#87,5.90%,170000,Thriller
87,비밀의 숲2,"Aug 15, 2020 - Oct  4, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.6,"Thriller,  Mystery,  Law,  Drama ","Corruption, Calm Male Lead, Smart Male Lead, Suspense, Emotional Blunting, Power Struggle, Strong Female Lead, Strong Male Lead, Policewoman, Alexithymia",Park Hyun Suk,Lee Soo Yeon,"Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah","Signal Entertainment Group, IOK Media",#88,9.40%,0,Mystery
88,"60일, 지정생존자","Jul  1, 2019 - Aug 20, 2019",2019,"Netflix,  tvN "," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Thriller,  Mystery,  Drama,  Political ","Power Struggle, Conspiracy, Blue House, Lying, Social Commentary, Terrorism, Deception, National Intelligence Service, National Assembly, Death",Yoo Jong Sun,Kim Tae Hee,"Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young",DK E&M,#89,6.20%,329,Comedy
89,소년심판,25-Feb-22,2022,Netflix,Friday,10,1 hr. 2 min.,18+ Restricted (violence & profanity),8.6,"Law, Drama","Hardworking Female Lead, Strong Female Lead, Tough Female Lead, Kind Male Lead, Hardworking Male Lead, Redemption, Violence, Runaway Teenager, Justice System, Web Series",Hong Jong Chan,Kim Min Sook,"Kim Hye Soo, Kim Mu Yeol, Lee Sung Min, Lee Jung Eun, Lee Sang Hee, Park Ji Yun","Gill Pictures, GTist",#90,,260000,Historical
90,무정도시,"May 27, 2013 - Jul 30, 2013",2013,jTBC," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.6,"Action,  Thriller,  Romance,  Crime ","Badass Male Lead, Gang, Bromance, Strong Female Lead, Gangster, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Drug Dealer",Lee Jeong Hyo,Yoo Sung Yeol,"Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi, Choi Moo Sung",DRM Media,#91,1.00%,150000,Historical
91,별에서 온 그대,"Dec 18, 2013 - Feb 27, 2014",2013,SBS," Wednesday, Thursday",21,58 min.,15+ - Teens 15 or older,8.6,"Comedy,  Romance,  Drama,  Supernatural ","Alien, Interspecies Romance, Famous Actress, Celebrity, Professor, Sassy Female Lead, Superhuman Strength, Time Manipulation, Cyberbullying, Star Crossed Lovers","Oh Choong Hwan, Jang Tae Yoo",Park Ji Eun,"Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan",HB Entertainment,#92,28.10%,180000,Historical
92,쌍갑포차,"May 20, 2020 - Jun 25, 2020",2020,"jTBC,  Netflix "," Wednesday, Thursday",12,1 hr. 8 min.,15+ - Teens 15 or older,8.6,"Mystery,  Comedy,  Family,  Fantasy ","Afterlife, Tragic Past, Grudge, Hot-tempered Female Lead, Spirit, Adapted From A Webtoon, Special Power, Family Relationship, Flashback To Past, Food",Jun Chang Geun,Ha Yoon Ah,"Hwang Jung Eum, Yook Sung Jae, Choi Won Young, Jung Da Eun, Lee Joon Hyuk, Na In Woo","Drama House, Samhwa Networks",#93,3.70%,340000,Comedy
93,청춘시대,"Jul 22, 2016 - Aug 27, 2016",2016,jTBC," Friday, Saturday",12,60 min.,15+ - Teens 15 or older,8.6,"Friendship,  Romance,  Life,  Youth ","Housemates, Female Centered Plot, Sismance, Multiple Mains, College Life, Coming Of Age, Strong Female Lead, Strong Female Characters, Hardworking Female Lead, Multiple Couples",Lee Tae Gon,Park Yeon Sun,"Han Ye Ri, Ryu Hwa Young, Park Eun Bin, Han Seung Yeon, Park Hye Soo, Yoon Park","Drama House, Celltrion Entertainment",#94,4.10%,870000,Thriller
94,그냥 사랑하는 사이,"Dec 11, 2017 - Jan 30, 2018",2017,jTBC," Monday, Tuesday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.6,"Psychological,  Romance,  Melodrama ","Trauma, Healing, Survivor Guilt, Hardworking Female Lead, Strong Female Lead, Tearjerker, Hardworking Male Lead, Phobia, Disaster, Poor Male Lead",Kim Jin Won,Yoo Bo Ra,"Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na, Kim Hye Joon, Yoon Se Ah",Celltrion Entertainment,#95,2.40%,16000,Adventure
